                Year                 Doy        Cinput(gC/s)      Foliage(gC/m2)        Woody(gC/m2)   Met_litter(gC/m2)   Str_litter(gC/m2)    Fast_soil(gC/m2)    Slow_soil(gC/m2)    Pass_soil(gC/m2)          I(gC/m2/s)  Residence time(yr)     Capacity(gC/m2)    Potential(gC/m2)
                 103                 365     0.224500000E-04     0.399785408E+03     0.106561256E+05     0.228444677E+02     0.793718992E+03     0.765599208E+02     0.715811494E+04     0.733685919E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.809615986E+03
                 104                 365     0.224500000E-04     0.445389000E+03     0.106561626E+05     0.257453634E+02     0.985939681E+03     0.860078537E+02     0.707606442E+04     0.733657917E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.641576517E+03
                 105                 365     0.224500000E-04     0.469364213E+03     0.106561982E+05     0.272704536E+02     0.113239712E+04     0.922657738E+02     0.701771835E+04     0.733632737E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.521814751E+03
                 106                 365     0.224500000E-04     0.481968721E+03     0.106562326E+05     0.280722405E+02     0.124274225E+04     0.965107839E+02     0.697659449E+04     0.733609192E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.435068415E+03
                 107                 365     0.224500000E-04     0.488595300E+03     0.106562658E+05     0.284937646E+02     0.132524887E+04     0.994472937E+02     0.694800183E+04     0.733586698E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.371309103E+03
                 108                 365     0.224500000E-04     0.492079096E+03     0.106562977E+05     0.287153728E+02     0.138661720E+04     0.101511832E+03     0.692853130E+04     0.733564971E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.323789304E+03
                 109                 365     0.224500000E-04     0.493910635E+03     0.106563286E+05     0.288318790E+02     0.143209618E+04     0.102982667E+03     0.691569864E+04     0.733543877E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.287877396E+03
                 110                 365     0.224500000E-04     0.493596323E+03     0.106563599E+05     0.288145710E+02     0.146188998E+04     0.103763942E+03     0.690943674E+04     0.733523945E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.260341473E+03
                 111                 365     0.224500000E-04     0.151814817E+03     0.106569765E+05     0.719315187E+01     0.258505640E+03     0.335322745E+02     0.744021889E+04     0.733696863E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.136904700E+04
                 112                 365     0.224500000E-04     0.315023222E+03     0.106569830E+05     0.174526943E+02     0.564198597E+03     0.624647311E+02     0.728085596E+04     0.733653486E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.102034078E+04
                 113                 365     0.224500000E-04     0.400826908E+03     0.106569892E+05     0.229107187E+02     0.807588754E+03     0.771106307E+02     0.716771186E+04     0.733621975E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.784256815E+03
                 114                 365     0.224500000E-04     0.445936549E+03     0.106569952E+05     0.257801936E+02     0.996274102E+03     0.864140737E+02     0.708678423E+04     0.733595637E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.619316525E+03
                 115                 365     0.224500000E-04     0.469652077E+03     0.106570010E+05     0.272887649E+02     0.114007678E+04     0.925725422E+02     0.702915910E+04     0.733572058E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.501879853E+03
